id   ,cardImage ,cardBackground,cardName            ,comment,type,description,attack ,defence ,health ,price ,stars,effectIds
2016,Art/Img/Defence/苦痛之盾,Art/Img/Defence/img_bg_Defence,苦痛之盾,诅咒,defence,防御力为0的诅咒盾牌,0,0,0,0,1,
,,,,,,,,,,,,
,,,,,,,,,,,,
3000,Art/Img/Item/img_card_Blood_bottle,Art/Img/Item/img_bg_Item,道具牌,教学牌,item   ,恢复{heal}点生命值,0,0,0,0,2,HealPlayer_OnPlay:5
3001,Art/Img/Item/img_card_Blood_bottle,Art/Img/Item/img_bg_Item,小血瓶  ,,item   ,恢复{heal}点生命值,0,0,0,200,2,HealPlayer_OnPlay:5
3002,Art/Img/Item/img_card_Boom,Art/Img/Item/img_bg_Item,炸弹,,item   ,对随机敌人及两侧目标造成10点伤害,,,,300,3,Boom_OnPlay:10
3003,Art/Img/Item/img_card_HookLock,Art/Img/Item/img_bg_Item,钩索,,item        ,从弃牌堆随机抽一张武器牌置入手牌,,,,200,2,HookEquipWeaponFromDiscard_OnPlay
3004,Art/Img/Item/img_card_MonkeyWine,Art/Img/Item/img_bg_Item,猿酒,,item   ,下次攻击伤害翻倍,,,,200,2,ApeWine
3005,Art/Img/Item/img_card_GiftBox,Art/Img/Item/img_bg_Item,礼物袋,,item   ,在环境中随机召唤2张牌,,,,300,3,GiftBox:2
3006,Art/Img/Item/img_card_ShurikenScroll,Art/Img/Item/img_bg_Item,手里剑卷轴,,item   ,在环境中召唤2个手里剑,,,,300,3,DartScroll
3007,Art/Img/Item/img_card_TurkeyFeathers,Art/Img/Item/img_bg_Item,火鸡羽毛,,item   ,当前装备的防御卡永久防御+1,,,,0,3,TurkeyFeather
3008,Art/Img/Item/img_card_DonkeyMeatFireBun,Art/Img/Item/img_bg_Item,驴肉火烧,,item   ,生命上限永久+2,,,,0,3,DonkeyMeatFireBun
3009,Art/Img/Item/img_card_MonkeyBanana,Art/Img/Item/img_bg_Item,猴子香蕉,,item   ,当前装备的攻击卡永久攻击+1(赤手空拳除外),,,,0,3,MonkeyBanana
3010,Art/Img/Item/img_card_Bone,Art/Img/Item/img_bg_Item,骷髅骸骨,,item   ,随机获得火鸡羽毛/驴肉火烧/猴子香蕉的效果,,,,300,3,Bone
3011,Art/Img/Item/img_card_GravityShoes,Art/Img/Item/img_bg_Item,重力鞋,1丛林,item   ,将环境卡中全部卡牌和它下方的卡牌交换位置,,,,200,2,GravityShoes
3012,Art/Img/Item/沸腾兽血,Art/Img/Item/img_bg_Item,沸腾兽血,,item   ,失去一半血给所有手牌武器加损失血量一半攻击(最低5点),,,,200,2,BeastBloodBoiling_UseItem:5
3013,Art/Img/Item/鲜血护符,Art/Img/Item/img_bg_Item,鲜血护符,,item   ,失去一半血给所有手牌护具加损失血量一半防御(最低5点),,,,200,2,FreshBloodGuard_UseItem:5
3014,Art/Img/Item/魔法药水,Art/Img/Item/img_bg_Item,魔法药水,,item   ,随机获得一张技能牌,,,,100,1,MagicPotion:1
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
4000,Art/Img/Skill/img_card_double,Art/Img/Skill/img_bg_Skill,技能牌,教学牌,skill     ,下次使用攻击牌时会攻击两次,0,0,0,0,2,DoubleAttack_OnPlay
4001,Art/Img/Skill/img_card_double,Art/Img/Skill/img_bg_Skill,连续攻击,,skill     ,下次使用攻击牌时会攻击两次,0,0,0,200,2,DoubleAttack_OnPlay
4002,Art/Img/Skill/img_card_Strike,Art/Img/Skill/img_bg_Skill,痛击,,skill     ,下次攻击使怪物处于3回合易伤效果,0,0,0,200,2,Strike_UseSkill
4003,Art/Img/Skill/img_card_DualWield,Art/Img/Skill/img_bg_Skill,双持武器,,skill     ,下次攻击造成双倍伤害，但是无法使用防御牌,0,0,0,200,2,DualWield_UseSkill
4004,Art/Img/Skill/img_card_Fortress,Art/Img/Skill/img_bg_Skill,堡垒,,skill     ,消耗当前防御牌，为下一次装备的防御牌增加相同防御力,,,,200,2,Fortress_UseSkill
4005,Art/Img/Skill/img_card_ShieldBash,Art/Img/Skill/img_bg_Skill,肉盾冲击,,skill     ,下次攻击时，造成相当于防御值的额外伤害,,,,200,2,ShieldBash_UseSkill
4006,Art/Img/Skill/img_card_Lightning,Art/Img/Skill/img_bg_Skill,连环闪电    ,,skill     ,全体伤害:5，且使怪物处于1回合易伤效果,0,0,0,200,2,Electric:5
4007,Art/Img/Skill/img_card_FlyingDagger,Art/Img/Skill/img_bg_Skill,匕首飞来,,skill     ,在环境中召唤2个匕首,0,0,0,300,3,AddKnifeToEnv_UseSkill
4008,Art/Img/Skill/img_card_DropGear,Art/Img/Skill/img_bg_Skill,丢盔弃甲,,skill     ,将装备中的武器牌和防具牌丢入环境中,0,0,0,100,1,ThrowWeaponDefenceToStack_UseSkill
4010,Art/Img/Skill/img_card_Strike,Art/Img/Skill/img_bg_Skill,鲜血寄存,,skill     ,失去一半血，恢复5%最大血量持续五回合,0,0,0,180,2,BloodStorage_UseSkill
4011,Art/Img/Skill/宁死不屈,Art/Img/Skill/img_bg_Skill,宁死不屈,,skill     ,生命值变为1，2回合内免疫致死；结束时回复期间所受伤害,,,,300,3,Unyielding_UseSkill:2
4012,Art/Img/Skill/浴血奋战,Art/Img/Skill/img_bg_Skill,浴血奋战,,skill     ,失去一半生命，对全体敌人造成等量伤害（至少5点）；1回合内免疫致死,,,,300,3,BloodyBattle_UseSkill:1
4013,Art/Img/Skill/魔力召唤,Art/Img/Skill/img_bg_Skill,魔力召唤,,skill     ,在环境中随机召唤2张技能卡,,,,300,3,MagicRecall_UseSkill:2
4014,Art/Img/Skill/烈焰火球,Art/Img/Skill/img_bg_Skill,烈焰火球,,skill     ,对随机敌人及两侧目标造成9点伤害,,,,300,3,FireBall:9
4015,Art/Img/Skill/冰霜魔法,Art/Img/Skill/img_bg_Skill,冰霜魔法,,skill     ,对随机敌人造成8点伤害，并使其冻结一回合,,,,300,3,IceMagic:8
4016,Art/Img/Skill/技能强化,Art/Img/Skill/img_bg_Skill,技能强化,,skill     ,增加技能伤害5点,,,,300,3,SkillPowerUp:5
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
5000,Art/Img/Monster/img_card_badmonkey,Art/Img/Monster/img_bg_Monster,坏Monkey,教学牌,monster      ,点击攻击,3,,10,10,1,
5001,Art/Img/Monster/img_card_badmonkey,Art/Img/Monster/img_bg_Monster,坏Monkey,教学牌,monster      ,点击攻击,3,,5,10,1,
5002,Art/Img/Monster/img_card_badmonkey,Art/Img/Monster/img_bg_Monster,坏Monkey,1丛林,monster      ,,6,,12,10,1,
5003,Art/Img/Monster/img_card_MediEvil,Art/Img/Monster/img_bg_Monster,骷髅Monkey,4墓地,monster      ,,12,,24,10,1,
5004,Art/Img/Monster/img_card_SkeletonKnight,Art/Img/Monster/img_bg_Monster,骷髅骑士Monkey,4墓地,monster      ,格挡首次攻击,14,,28,10,2,BlockFirstAttack
5005,Art/Img/Monster/img_card_vampiremonkey,Art/Img/Monster/img_bg_Monster,吸血鬼Monkey,4墓地,monster      ,每次攻击时，吸血:3,9,,23,10,1,VampireMonkey
5006,Art/Img/Monster/img_card_Barrel,Art/Img/Monster/img_bg_Monster,木桶,1丛林,monster,离场:掉落宝物,,,1,5,1,
5007,Art/Img/Monster/img_card_Bangalore,Art/Img/Monster/img_bg_Monster,炸药桶,未启用，有卡死bug,monster,离场：对两侧敌人各造成10点伤害,,,1,10,3,Boom_OnDead:10
5008,Art/Img/Monster/img_card_Captain_Monkey,Art/Img/Monster/img_bg_Monster,Monkey船长,未启用,monster      ,,5,,8,10,1,
5009,Art/Img/Monster/img_card_Barrel,Art/Img/Monster/img_bg_Monster,木桶,1丛林 空木桶,monster,可能藏着好东西？,,,1,5,1,
5010,Art/Img/Monster/img_card_Necromancer_Donkey,Art/Img/Monster/img_bg_Monster,死灵Donkey,4墓地,monster      ,生命值降至一半以下时召唤两个骷髅Donkey,12,,28,10,2,NecDonkey
5011,Art/Img/Monster/骷髅donkey,Art/Img/Monster/img_bg_Monster,骷髅Donkey,4墓地,monster      ,,9,,25,10,1,
5012,Art/Img/Monster/img_card_Death,Art/Img/Monster/img_bg_Monster,死神,4墓地,monster      ,吸血:5 离场:召唤随机关卡的boss,19,,62,100,3,GrimReaper
5013,Art/Img/Monster/img_card_TimidTurkey,Art/Img/Monster/img_bg_Monster,胆小Turkey,3感恩节,monster      ,离场:获得20金币 受击:躲到下一张牌后,9,,25,100,2,TimidTurkey
5014,Art/Img/Monster/img_card_BoomMonkey,Art/Img/Monster/img_bg_Monster,自爆monkey,1丛林,monster,7回合后:自爆造成20点伤害,4,,11,30,1,AutoBoomMoney:20
5015,Art/Img/Monster/img_card_Thief_Monkey,Art/Img/Monster/img_bg_Monster,怪盗Donkey,2戈壁,monster,5回合后：发动攻击，窃取20金币并逃跑,7,,12,30,1,StealMoney:20
5016,Art/Img/Monster/img_card_TreasureChest,Art/Img/Monster/img_bg_Monster,宝箱,all,monster,离场:掉落宝物,0,,1,20,1,
5017,Art/Img/Monster/img_card_Romeo_Monkey,Art/Img/Monster/img_bg_Monster,罗密欧Monkey,1丛林,monster,离场:使朱丽叶Monkey获得+5攻击、+10生命,5,,11,40,2,RomeoMonkey
5018,Art/Img/Monster/img_card_Juliet_Monkey,Art/Img/Monster/img_bg_Monster,朱丽叶Monkey,1丛林,monster,离场:使罗密欧Monkey获得+5攻击、+10生命,5,,11,40,2,JulietMonkey
5019,Art/Img/Monster/img_card_bigmonkey,Art/Img/Monster/img_bg_Monster,兄贵Monkey,1丛林,monster,场上每有1个怪物，攻击+3,6,,36,80,3,BadMonkey:3
5020,Art/Img/Monster/img_card_ghost,Art/Img/Monster/img_bg_Monster,死灵Monkey,4墓地,monster,5回合后:主动攻击1次,12,,24,30,2,Ghost
5021,Art/Img/Monster/img_card_BigDumbDonkey,Art/Img/Monster/img_bg_Monster,大春Donkey,2戈壁,monster,受击:将玩家的武器踢到环境里,11,,22,25,2,AnswerSpringGreen
5022,Art/Img/Monster/img_card_PolanDonkey,Art/Img/Monster/img_bg_Monster,波兰蠢Donkey,2戈壁,monster,离场:玩家获得10金币,10,,18,15,1,PolishStupidDonkey
5023,Art/Img/Monster/img_card_BadTurkey,Art/Img/Monster/img_bg_Monster,坏Turkey,3感恩节,monster,,13,,26,15,1,
5024,Art/Img/Monster/img_card_WalkingChicken,Art/Img/Monster/img_bg_Monster,走地Turkey,3感恩节,monster,2回合后:随机平移1格,12,,24,15,1,WalkingChicken
5025,Art/Img/Monster/img_card_runtturkey,Art/Img/Monster/img_bg_Monster,包租Turkey,3感恩节,monster,受击时：与环境中随机1张卡牌交换位置,9,,25,15,1,DodgeChicken
5026,Art/Img/Monster/img_card_ThanksgivingChicken,Art/Img/Monster/img_bg_Monster,感恩节Turkey,3感恩节,monster,抵挡一次致命伤害,9,,19,15,2,GratefulReleaseChicken
5027,Art/Img/Monster/img_card_BigChicken,Art/Img/Monster/img_bg_Monster,下蛋Turkey,3感恩节,monster,受击时:小概率召唤1只走地鸡蛋,18,,56,80,3,BigChickenBoss:5028
5028,Art/Img/Monster/img_card_ChickenEgg,Art/Img/Monster/img_bg_Monster,走地Turkey蛋,3感恩节,monster,2回合后:召唤1只走地鸡,0,,16,15,1,WalkingChickenEgg:5024
5029,Art/Img/Monster/img_card_MimicChest,Art/Img/Monster/img_bg_Monster,伪装宝箱,3感恩节,monster,离场:掉落宝物,10,,20,40,2,MimicChest:5016
5030,Art/Img/Monster/img_card_ClownMonkey,Art/Img/Monster/img_bg_Monster,小丑Monkey,未启用,monster,,6,,20,30,1,
5031,Art/Img/Monster/img_card_SkateMonkey,Art/Img/Monster/img_bg_Monster,滑板Monkey,未启用,monster,,7,,18,25,1,
5032,Art/Img/Monster/坏Donkey,Art/Img/Monster/img_bg_Monster,坏Donkey,2戈壁,monster,,8,,18,25,1,
5033,Art/Img/Monster/榴莲Donkey,Art/Img/Monster/img_bg_Monster,榴莲Donkey,2戈壁,monster,受击时：反伤5点伤害,8,,19,40,2,IronHoofDonkey
5034,Art/Img/Monster/img_card_GuolaoDonkey,Art/Img/Monster/img_bg_Monster,Donkey市长,2戈壁,monster,每次受到攻击时，增加2点攻击力,8,,50,80,3,DonkeyMajor:2
5035,Art/Img/Monster/img_card_doctorMonkey,Art/Img/Monster/img_bg_Monster,医生monkey,1丛林,monster,离场：所有怪物回复3点生命,3,,11,15,1,BananaMonkey
5036,Art/Img/Monster/img_card_ShamanDonkey,Art/Img/Monster/img_bg_Monster,萨满Donkey,2戈壁,monster,受击时:场上每只Donkey攻击+3,1,,30,20,2,ShamanDonkey
5037,Art/Img/Monster/img_card_MimicChestking,Art/Img/Monster/img_bg_Monster,伪装宝箱王,4墓地,monster,离场:掉落大量宝物,15,,30,100,3,MimicChest:5016
5038,Art/Img/Monster/img_card_BadTurkey,Art/Img/Monster/img_bg_Monster,坏Turkey,教学牌,monster,点击攻击,9,,16,25,1,
5039,Art/Img/Monster/坏Donkey,Art/Img/Monster/img_bg_Monster,坏Donkey,教学牌,monster,点击攻击,8,,12,25,1,
5040,Art/Img/Monster/img_card_DonkeyQueen,Art/Img/Monster/img_bg_Monster,女王Donkey,4墓地,monster,joey武器与护甲 -1/3 国王受击时回复国王生命6点,22,,67,15,3,DonkeyQueen
5041,Art/Img/Monster/img_card_MonkeyKing,Art/Img/Monster/img_bg_Monster,国王Monkey,4墓地,monster,无视护甲 女王受击时移除joey一张护甲,10,,56,15,3,MonkeyKing
5042,Art/Img/Monster/img_card_TurkeyJack,Art/Img/Monster/img_bg_Monster,卫士Turkey,3感恩节,monster,反击两次 女王/国王受击:触发反击,14,,45,15,3,TurkeyJack
5043,Art/Img/Monster/img_card_JokerNightmare,Art/Img/Monster/img_bg_Monster,小丑Nightmare,4墓地,monster,3回合后:诅咒joey武器/护甲 被视为国王/女王,12,,80,50,3,JokerNightmare
5044,Art/Img/Monster/大兄贵Monkey,Art/Img/Monster/img_bg_Monster,大兄贵Monkey,1丛林,monster,场上每有1个怪物，攻击+5,12,,72,80,3,BadMonkey:5
5045,Art/Img/Monster/Monkey兄弟,Art/Img/Monster/img_bg_Monster,Monkey兄弟,1丛林,monster,被兄贵视作2个怪物，倒计时8:召唤一个亲戚 ,16,,48,80,3,BadMonkeyBro:8
5046,Art/Img/Monster/Monkey姐妹,Art/Img/Monster/img_bg_Monster,Monkey姐妹,1丛林,monster,被兄贵视作2个怪物，倒计时5:主动攻击一次 ,16,,48,80,3,BadMonkeySis:5
5047,Art/Img/Monster/监工donkey,Art/Img/Monster/img_bg_Monster,监工donkey,2戈壁,monster,倒计时1:对其它怪物造成1点伤害 ,20,,70,80,3,WhipDonkey:1
5048,Art/Img/Monster/暗影turkey,Art/Img/Monster/img_bg_Monster,暗影turkey,3感恩节,monster,出现卡堆最上方时:主动攻击一次,22,,77,80,3,ShadowTurkey
,,,,,,,,,,,,
,,,,,,,,,,,,
6001,Art/Img/Other/img_card_door,Art/Img/Other/img_card_door_background,Key Path,,other,传送到下一关,,,,,3,
